id,release_date,title,vote_average,vote_count
238,1972-03-14,The Godfather,8.4,5893
244786,2014-10-10,Whiplash,8.3,4254
424,1993-11-29,Schindler's List,8.3,4329
550,1999-10-15,Fight Club,8.3,9413
129,2001-07-20,Spirited Away,8.3,3840
769,1990-09-12,GoodFellas,8.2,3128
155,2008-07-16,The Dark Knight,8.2,12002
497,1999-12-10,The Green Mile,8.2,4048
1891,1980-05-17,The Empire Strikes Back,8.2,5879
73,1998-10-30,American History X,8.2,3016
429,1966-12-23,"The Good, the Bad and the Ugly",8.1,2311
629,1995-07-19,The Usual Suspects,8.1,3254
264644,2015-10-16,Room,8.1,2757
11,1977-05-25,Star Wars,8.1,6624
27205,2010-07-14,Inception,8.1,13752
77,2000-10-11,Memento,8.1,4028
598,2002-02-05,City of God,8.1,1814
157336,2014-11-05,Interstellar,8.1,10867
122,2003-12-01,The Lord of the Rings: The Return of the King,8.1,8064
807,1995-09-22,Se7en,8.1,5765
105,1985-07-03,Back to the Future,8.0,6079
121,2002-12-18,The Lord of the Rings: The Two Towers,8.0,7487
164558,2013-08-28,One Direction: This Is Us,8.0,201
150540,2015-06-09,Inside Out,8.0,6560
423,2002-09-24,The Pianist,8.0,1864
1124,2006-10-19,The Prestige,8.0,4391
8587,1994-06-23,The Lion King,8.0,5376
205596,2014-11-14,The Imitation Game,8.0,5723
21525,2003-01-23,Tupac: Resurrection,8.0,26
120,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.0,8705
28,1979-08-15,Apocalypse Now,8.0,2055
387,1981-09-16,Das Boot,7.9,613
78,1982-06-25,Blade Runner,7.9,3509
38,2004-03-19,Eternal Sunshine of the Spotless Mind,7.9,3652
13963,1978-05-01,The Last Waltz,7.9,64
118340,2014-07-30,Guardians of the Galaxy,7.9,9742
603,1999-03-30,The Matrix,7.9,8907
16869,2009-08-18,Inglourious Basterds,7.9,6430
14,1999-09-15,American Beauty,7.9,3313
1422,2006-10-05,The Departed,7.9,4339
348,1979-05-25,Alien,7.9,4470
146233,2013-09-18,Prisoners,7.9,3085
106646,2013-12-25,The Wolf of Wall Street,7.9,6571
210577,2014-10-01,Gone Girl,7.9,5862
1892,1983-05-23,Return of the Jedi,7.9,4665
489,1997-12-05,Good Will Hunting,7.9,2811
152601,2013-12-18,Her,7.9,4097
46738,2010-09-04,Incendies,7.9,479
50014,2011-08-09,The Help,7.8,1910
21334,1997-08-01,Children of Heaven,7.8,112
314365,2015-11-06,Spotlight,7.8,2686
762,1975-03-13,Monty Python and the Holy Grail,7.8,1708
194,2001-04-25,Amélie,7.8,3310
7347,2007-10-12,Elite Squad,7.8,504
177572,2014-10-24,Big Hero 6,7.8,6135
5915,2007-09-11,Into the Wild,7.8,3045
149,1988-07-16,Akira,7.8,773
68718,2012-12-25,Django Unchained,7.8,10099
13223,2008-12-09,Gran Torino,7.8,3086
11324,2010-02-18,Shutter Island,7.8,6336
1091,1982-06-25,The Thing,7.8,1588
10681,2008-06-22,WALL·E,7.8,6296
159037,2013-06-07,The Square,7.8,55
115,1998-03-06,The Big Lebowski,7.8,2926
266856,2014-11-26,The Theory of Everything,7.8,3311
627,1996-02-23,Trainspotting,7.8,2655
24,2003-10-10,Kill Bill: Vol. 1,7.7,4949
70,2004-12-15,Million Dollar Baby,7.7,2439
640,2002-12-25,Catch Me If You Can,7.7,3795
752,2006-03-15,V for Vendetta,7.7,4442
84892,2012-09-20,The Perks of Being a Wallflower,7.7,2968
44639,2010-10-08,Inside Job,7.7,286
277216,2015-08-13,Straight Outta Compton,7.7,1355
453,2001-12-11,A Beautiful Mind,7.7,3009
152742,2013-01-01,The Best Offer,7.7,704
74510,2011-09-09,Kevin Hart: Laugh at My Pain,7.7,43
26022,2010-02-12,My Name Is Khan,7.7,232
4348,2005-09-16,Pride & Prejudice,7.7,1358
11036,2004-06-25,The Notebook,7.7,3067
59440,2011-09-09,Warrior,7.7,1272
85,1981-06-12,Raiders of the Lost Ark,7.7,3854
13363,2007-06-10,The Man from Earth,7.7,687
613,2004-09-08,Downfall,7.7,1037
309809,2015-07-29,The Little Prince,7.6,756
296096,2016-06-02,Me Before You,7.6,2562
83666,2012-05-16,Moonrise Kingdom,7.6,1662
286217,2015-09-30,The Martian,7.6,7268
264660,2015-01-21,Ex Machina,7.6,4737
45269,2010-09-06,The King's Speech,7.6,2752
1417,2006-05-27,Pan's Labyrinth,7.6,3041
109424,2013-10-10,Captain Phillips,7.6,2454
49026,2012-07-16,The Dark Knight Rises,7.6,9106
12405,2008-05-12,Slumdog Millionaire,7.6,2827
89,1989-05-24,Indiana Jones and the Last Crusade,7.6,3152
12,2003-05-30,Finding Nemo,7.6,6122
17431,2009-06-12,Moon,7.6,1794
137113,2014-05-27,Edge of Tomorrow,7.6,4858
82702,2014-06-12,How to Train Your Dragon 2,7.6,3106
10386,1999-08-06,The Iron Giant,7.6,1436
10193,2010-06-16,Toy Story 3,7.6,4597
80,2004-02-10,Before Sunset,7.6,718
57158,2013-12-11,The Hobbit: The Desolation of Smaug,7.6,4524
