Date Local,CO Mean,CO 1st Max Hour
2006/1/1,0.670833,15
2006/1/1,0.694737,17
2006/1/1,0.670833,15
2006/1/1,0.694737,17
2006/1/2,0.745833,8
2006/1/2,0.775,11
2006/1/2,0.745833,8
2006/1/2,0.775,11
2006/1/3,0.527273,12
2006/1/3,0.520833,15
2006/1/3,0.527273,12
2006/1/3,0.520833,15
2006/1/4,0.533333,7
2006/1/4,0.5125,11
2006/1/4,0.533333,7
2006/1/4,0.5125,11
2006/1/5,0.683333,2
2006/1/5,0.679167,8
2006/1/5,0.683333,2
2006/1/5,0.679167,8
2006/1/6,0.516667,0
2006/1/6,0.570833,0
2006/1/6,0.516667,0
2006/1/6,0.570833,0
2006/1/7,0.420833,8
2006/1/7,0.404167,19
2006/1/7,0.420833,8
2006/1/7,0.404167,19
2006/1/8,0.5375,19
2006/1/8,0.516667,20
2006/1/8,0.5375,19
2006/1/8,0.516667,20
2006/1/9,0.590909,5
2006/1/9,0.629167,8
2006/1/9,0.590909,5
2006/1/9,0.629167,8
2006/1/10,0.483333,19
2006/1/10,0.470833,20
2006/1/10,0.483333,19
2006/1/10,0.470833,20
2006/1/11,1.0,10
2006/1/11,0.916667,14
2006/1/11,1.0,10
2006/1/11,0.916667,14
2006/1/12,0.629167,19
2006/1/12,0.691667,0
2006/1/12,0.629167,19
2006/1/12,0.691667,0
2006/1/13,0.8125,7
2006/1/13,0.820833,19
2006/1/13,0.8125,7
2006/1/13,0.820833,19
2006/1/14,0.516667,0
2006/1/14,0.5875,0
2006/1/14,0.516667,0
2006/1/14,0.5875,0
2006/1/15,0.3625,0
2006/1/15,0.379167,0
2006/1/15,0.3625,0
2006/1/15,0.379167,0
2006/1/16,0.4625,17
2006/1/16,0.454167,20
2006/1/16,0.4625,17
2006/1/16,0.454167,20
2006/1/17,0.554545,7
2006/1/17,0.575,9
2006/1/17,0.554545,7
2006/1/17,0.575,9
2006/1/18,0.445833,9
2006/1/18,0.4625,0
2006/1/18,0.445833,9
2006/1/18,0.4625,0
2006/1/19,0.616667,19
2006/1/19,0.566667,22
2006/1/19,0.616667,19
2006/1/19,0.566667,22
2006/1/20,0.745833,10
2006/1/20,0.745833,23
2006/1/20,0.745833,10
2006/1/20,0.745833,23
2006/1/21,0.6875,1
2006/1/21,0.754167,2
2006/1/21,0.6875,1
2006/1/21,0.754167,2
2006/1/22,0.45,7
2006/1/22,0.441667,7
2006/1/22,0.45,7
2006/1/22,0.441667,7
2006/1/23,0.6,8
2006/1/23,0.579167,12
2006/1/23,0.6,8
2006/1/23,0.579167,12
2006/1/24,0.65,8
2006/1/24,0.654167,12
2006/1/24,0.65,8
2006/1/24,0.654167,12
2006/1/25,0.525,0
2006/1/25,0.5625,0
2006/1/25,0.525,0
2006/1/25,0.5625,0
2006/1/26,0.4,8
2006/1/26,0.408333,0
2006/1/26,0.4,8
2006/1/26,0.408333,0
2006/1/27,0.529167,18
2006/1/27,0.4875,19
2006/1/27,0.529167,18
2006/1/27,0.4875,19
2006/1/28,0.7625,19
2006/1/28,0.7,23
2006/1/28,0.7625,19
2006/1/28,0.7,23
2006/1/29,1.020833,7
2006/1/29,1.079167,8
2006/1/29,1.020833,7
2006/1/29,1.079167,8
2006/1/30,0.63913,8
2006/1/30,0.7,8
2006/1/30,0.63913,8
2006/1/30,0.7,8
2006/1/31,0.575,8
2006/1/31,0.566667,10
2006/1/31,0.575,8
2006/1/31,0.566667,10
2006/2/1,0.491667,8
2006/2/1,0.4875,23
2006/2/1,0.491667,8
2006/2/1,0.4875,23
2006/2/2,0.645833,8
2006/2/2,0.658333,12
2006/2/2,0.645833,8
2006/2/2,0.658333,12
2006/2/3,0.55,11
2006/2/3,0.545833,11
2006/2/3,0.55,11
2006/2/3,0.545833,11
2006/2/4,0.733333,7
2006/2/4,0.758333,7
2006/2/4,0.733333,7
2006/2/4,0.758333,7
2006/2/5,0.483333,0
2006/2/5,0.495833,0
2006/2/5,0.483333,0
2006/2/5,0.495833,0
2006/2/6,0.486364,7
2006/2/6,0.466667,8
2006/2/6,0.486364,7
2006/2/6,0.466667,8
2006/2/7,0.483333,6
2006/2/7,0.491667,0
2006/2/7,0.483333,6
2006/2/7,0.491667,0
2006/2/8,0.4875,6
2006/2/8,0.479167,0
2006/2/8,0.4875,6
2006/2/8,0.479167,0
2006/2/9,0.475,7
2006/2/9,0.475,0
2006/2/9,0.475,7
2006/2/9,0.475,0
2006/2/10,0.55,8
2006/2/10,0.533333,11
2006/2/10,0.55,8
2006/2/10,0.533333,11
2006/2/11,0.658333,6
2006/2/11,0.679167,6
2006/2/11,0.658333,6
2006/2/11,0.679167,6
2006/2/12,0.508333,15
2006/2/12,0.516667,19
2006/2/12,0.508333,15
2006/2/12,0.516667,19
2006/2/13,0.45,3
2006/2/13,0.4625,0
2006/2/13,0.45,3
2006/2/13,0.4625,0
2006/2/14,0.5,22
2006/2/14,0.5,0
2006/2/14,0.5,22
2006/2/14,0.5,0
2006/2/15,0.9875,20
2006/2/15,0.875,21
2006/2/15,0.9875,20
2006/2/15,0.875,21
2006/2/16,1.245833,7
2006/2/16,1.329167,10
2006/2/16,1.245833,7
2006/2/16,1.329167,10
2006/2/17,0.445833,7
2006/2/17,0.516667,0
2006/2/17,0.445833,7
2006/2/17,0.516667,0
2006/2/18,0.433333,9
2006/2/18,0.441667,0
2006/2/18,0.433333,9
2006/2/18,0.441667,0
2006/2/19,0.508333,17
2006/2/19,0.483333,20
2006/2/19,0.508333,17
2006/2/19,0.483333,20
2006/2/20,0.55,23
2006/2/20,0.554167,0
2006/2/20,0.55,23
2006/2/20,0.554167,0
2006/2/21,0.647826,7
2006/2/21,0.645833,3
2006/2/21,0.647826,7
2006/2/21,0.645833,3
2006/2/22,0.670833,7
2006/2/22,0.666667,12
2006/2/22,0.670833,7
2006/2/22,0.666667,12
2006/2/23,0.7,8
2006/2/23,0.7,10
2006/2/23,0.7,8
2006/2/23,0.7,10
2006/2/24,0.520833,0
2006/2/24,0.554167,0
2006/2/24,0.520833,0
2006/2/24,0.554167,0
2006/2/25,0.55,18
2006/2/25,0.55,18
2006/2/25,0.55,18
2006/2/25,0.55,18
2006/2/26,0.470833,7
2006/2/26,0.479167,0
2006/2/26,0.470833,7
2006/2/26,0.479167,0
2006/2/27,0.369565,0
2006/2/27,0.3875,0
2006/2/27,0.369565,0
2006/2/27,0.3875,0
2006/2/28,0.352381,19
2006/2/28,0.338889,1
2006/2/28,0.352381,19
2006/2/28,0.338889,1
2006/3/1,0.354167,6
2006/3/1,0.354167,23
2006/3/1,0.354167,6
2006/3/1,0.354167,23
2006/3/2,0.6375,7
2006/3/2,0.658333,11
2006/3/2,0.6375,7
2006/3/2,0.658333,11
2006/3/3,0.358333,0
2006/3/3,0.379167,0
2006/3/3,0.358333,0
2006/3/3,0.379167,0
2006/3/4,0.308333,17
2006/3/4,0.3,0
2006/3/4,0.308333,17
2006/3/4,0.3,0
2006/3/5,0.316667,0
2006/3/5,0.3,0
2006/3/5,0.316667,0
2006/3/5,0.3,0
2006/3/6,0.382609,20
2006/3/6,0.329167,22
2006/3/6,0.382609,20
2006/3/6,0.329167,22
2006/3/7,0.366667,19
2006/3/7,0.4,0
2006/3/7,0.366667,19
2006/3/7,0.4,0
2006/3/8,0.4625,20
2006/3/8,0.45,19
2006/3/8,0.4625,20
2006/3/8,0.45,19
2006/3/9,0.520833,20
2006/3/9,0.508333,0
2006/3/9,0.520833,20
2006/3/9,0.508333,0
2006/3/10,0.495833,8
2006/3/10,0.55,0
2006/3/10,0.495833,8
2006/3/10,0.55,0
2006/3/11,0.520833,22
2006/3/11,0.454167,23
2006/3/11,0.520833,22
2006/3/11,0.454167,23
2006/3/12,0.741667,18
2006/3/12,0.7375,20
2006/3/12,0.741667,18
2006/3/12,0.7375,20
2006/3/13,0.713636,9
2006/3/13,0.75,12
2006/3/13,0.713636,9
2006/3/13,0.75,12
2006/3/14,0.5125,7
2006/3/14,0.570833,0
2006/3/14,0.5125,7
2006/3/14,0.570833,0
2006/3/15,0.279167,0
2006/3/15,0.291667,0
2006/3/15,0.279167,0
2006/3/15,0.291667,0
2006/3/16,0.345833,6
2006/3/16,0.325,18
2006/3/16,0.345833,6
2006/3/16,0.325,18
2006/3/17,0.3125,6
2006/3/17,0.3125,0
2006/3/17,0.3125,6
2006/3/17,0.3125,0
2006/3/18,0.308333,21
2006/3/18,0.3,0
2006/3/18,0.308333,21
2006/3/18,0.3,0
2006/3/19,0.308333,15
2006/3/19,0.3,0
2006/3/19,0.308333,15
2006/3/19,0.3,0
2006/3/20,0.309091,2
2006/3/20,0.3,0
2006/3/20,0.309091,2
2006/3/20,0.3,0
2006/3/21,0.325,7
2006/3/21,0.316667,19
2006/3/21,0.325,7
2006/3/21,0.316667,19
2006/3/22,0.333333,6
2006/3/22,0.333333,9
2006/3/22,0.333333,6
2006/3/22,0.333333,9
2006/3/23,0.358333,18
2006/3/23,0.345833,9
2006/3/23,0.358333,18
2006/3/23,0.345833,9
2006/3/24,0.420833,7
2006/3/24,0.433333,7
2006/3/24,0.420833,7
2006/3/24,0.433333,7
2006/3/25,0.391667,6
2006/3/25,0.3625,5
2006/3/25,0.391667,6
2006/3/25,0.3625,5
2006/3/26,0.345833,0
2006/3/26,0.375,0
2006/3/26,0.345833,0
2006/3/26,0.375,0
2006/3/27,0.313043,7
2006/3/27,0.3,0
2006/3/27,0.313043,7
2006/3/27,0.3,0
2006/3/28,0.420833,7
2006/3/28,0.404167,8
2006/3/28,0.420833,7
2006/3/28,0.404167,8
2006/3/29,0.604167,7
2006/3/29,0.616667,7
2006/3/29,0.604167,7
2006/3/29,0.616667,7
2006/3/30,0.616667,7
2006/3/30,0.608333,7
2006/3/30,0.616667,7
2006/3/30,0.608333,7
2006/3/31,0.533333,18
2006/3/31,0.529167,0
2006/3/31,0.533333,18
2006/3/31,0.529167,0
2006/4/1,0.504167,7
2006/4/1,0.541667,0
2006/4/1,0.504167,7
2006/4/1,0.541667,0
